date,sitting,speaker,summary,link
2013-10-23,08-04-SWE-11,行政院環境保護署署長沈世宏,「台灣老舊車輛現況對空氣環境污染、人體健康及交通安全之影響，另如何與國際節能車輛發展趨勢接軌」(全文影像共28頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4504
2013-10-23,08-04-SWE-11,衛生福利部,「現行台灣老舊車輛對空氣環境污染及人體健康之影響」報告(書面報告)(全文影像共5頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4505
2013-10-23,08-04-SWE-11,交通部,臺灣老舊車輛現況對交通安全之影響及如何與國際節能車輛發展趨勢接軌專案報告(全文影像共7頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4506
2013-10-23,08-04-SWE-11,經濟部,「台灣老舊車輛現況對空氣環境污染、人體健康及交通安全之影響，另如何與國際節能車輛發展趨勢接軌」專案報告(全文影像共9頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4507
2013-10-21,08-04-IAD-05,行政院海岸巡防署署長王進旺,行政院海岸巡防署業務報告(全文影像共37頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4472
2013-10-21,08-04-IAD-05,行政院海岸巡防署署長王進旺,行政院海岸巡防署103年度主管預算案口頭報告(全文影像共29頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4473
2013-10-21,08-04-FND-07,國防部,「軍事教育條例」部分條文修正草案書面資料(全文影像共12頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4474
2013-10-21,08-04-ECO-06,行政院經濟建設委員會,102年度我國GDP預估下修情況及『黃金交叉』承諾達成情況預估及檢討(全文影像共7頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4475
2013-10-21,08-04-ECO-06,經濟部,102年度我國GDP預估下修情況及「黃金交叉」承諾達成情況預估及檢討專案報告(全文影像共8頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4476
2013-10-21,08-04-ECO-06,行政院主計總處副主計長鹿篤瑾,「102年度我國GDP預估下修情況及『黃金交叉』承諾達成情況預估及檢討」專題報告(全文影像共6頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4477
2013-10-21,08-04-FIN-05,行政院主計總處主計長石素梅,行政院主計總處對於審查薛凌委員等17人擬具「預算法第九十二條條文修正草案」、盧秀燕委員等36人擬具「預算法第六十三條條文修正草案」、薛凌委員等23人擬具「預算法第三十一條及第三十二條條文修正草案」、薛凌委員等24人擬具「預算法第二十八條條文修正草案」、親民黨黨團擬具「預算法部分條文修正草案」及林佳龍委員等26人擬具「預算法第八十三條及第八十四條條文修正草案」之報告(全文影像共11頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4478
2013-10-21,08-04-EDU-10,教育部,教育部主管(教育部及所屬機關)103年度施政計畫及收支預算案報告(全文影像(一)共98頁)(全文影像(二)共65頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4479
2013-10-21,08-04-TRA-07,國家通訊傳播委員會主任委員石世豪,國家通訊傳播委員會業務概況報告(全文影像(口頭報告)共23頁)(全文影像(書面報告)共39頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4481
2013-10-21,08-04-TRA-07,國家通訊傳播委員會主任委員石世豪,國家通訊傳播委員會102年度單位預算解凍案報告(全文影像共6頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4483
2013-10-21,08-04-JUD-10,法務部,法務部「監聽事件調查小組調查結果」專題報告(全文影像共6頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4484
2013-10-21,08-04-JUD-10,檢察總長黃世銘,最高法院檢察署「立法院審議102年度中央政府總預算案所提決議、附帶決議及注意辦理事項辦理情形報告表」及102年度預算執行績效案口頭報告(全文影像共5頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4490
2013-10-21,08-04-JUD-10,內政部警政署,「監聽事件調查小組調查報告及監聽設備預算執行情形」專題報告(全文影像共6頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4491
2013-10-21,08-04-SWE-10,衛生福利部,塑化劑事件消費訴訟案之地方法院判決結果不符比例原則；不鏽鋼食品器具之含錳標準訂定與輔導業者標示；近期食品藥品安全事件，食品及藥品安全相關查核機制及如何減低食品安全危害等專案報告(書面報告)(全文影像共34頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4485
2013-10-21,08-04-SWE-10,行政院環境保護署,三、「近期傳出多起危害食品及藥品安全事件，如毒餐盒流入市面、麵包摻入人工香精、橄欖油混劣質油或食品含減肥藥物成分等等，請主管機關就食品及藥品安全相關督導查核工作及如何減低食品安全危害，重振國人信心」報告(全文影像共4頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4486
2013-10-21,08-04-SWE-10,行政院農業委員會,「近期傳出多起危害食品及藥品安全事件，如毒餐盒流入市面、麵包摻入人工香精、橄欖油混劣質油或食品含減肥藥物成分等等，請主管機關就食品及藥品安全相關督導查核工作及如何減低食品安全危害，重振國人信心」報告資料(全文影像共8頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4487
2013-10-21,08-04-SWE-10,經濟部標準檢驗局副局長莊素琴,經濟部標準檢驗局報告(書面部分-不鏽鋼餐盒相關國家標準說明)(全文影像共42頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4492
2013-10-21,08-04-SWE-10,司法院,司法院就「前年五月爆發塑化劑事件，財團法人中華民國消費者文教基金會展開國內司法史上第一件食品摻毒事件，透過消費團體訴訟機制向廠商提起的訴訟案，總共有568位消費者提告求償，金額累計達78億元，臺灣新北地方法院一審判決昱伸等18間廠商，僅需賠償120萬元，判決結果無法達到社會大眾要求加強控管食品安全的效果，請主管機關提出專案報告」議案之專案報告內容(全文影像共2頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4493
2013-10-18,院會,行政院院長江宜樺,行政院院長施政報告(全文影像(口頭報告)共21頁)(全文影像(一)共112頁)(全文影像(二)共112頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4469
2013-10-17,08-04-IAD-04,內政部部長李鴻源,內政部施政報告(全文影像(口頭報告)共13頁)(全文影像(書面報告)共78頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4457
2013-10-17,08-04-IAD-04,內政部,內政部主管102年度單位預算解凍案報告(全文影像共114頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4459
2013-10-17,08-04-FND-ECO-02,外交部政務次長柯森耀,「北太平洋公海漁業資源養護與管理公約」暨「補魚實體參與文書」審議案(全文影像共10頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4460
2013-10-17,08-04-ECO-05,行政院農業委員會,行政院農業委員會主管102年度預算凍結案專案報告(全文影像共27頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4461
2013-10-17,08-04-FIN-ECO-01,經濟部,經濟部主管中央政府易淹水地區水患治理計畫第3期特別預算業務費解凍口頭報告(全文影像共3頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4462
2013-10-17,08-04-EDU-09,文化部部長龍應台,文化部振興國內電影、電視及流行音樂產業發展及電影法修正草案中建議「隨電影票提撥百分之五電影基金及建立全國票房統計機制」書面報告(全文影像共14頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4463
2013-10-17,08-04-EDU-09,文化部部長龍應台,文化部「委員管碧玲等24人擬具文化資產保存法修正草案、委員鄭麗君等19人擬具文化資產保存法部分條文修正草案、委員吳宜臻等24人擬具文化資產保存法部分條文修正草案、委員孫大千等19人擬具文化資產保存法第二十一條條文修正草案、委員吳宜臻等24人擬具文化資產保存法第七十六條條文修正草案、委員蕭美琴等17人擬具文化資產保存法第一百零一條條文修正草案」書面報告(全文影像共5頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4464
2013-10-17,08-04-TRA-06,國家通訊傳播委員會主任委員石世豪,「行動寬頻(4G)釋照業務辦理情形與行動寬頻(4G)通訊設備涉及國安問題之相關負面表列及禁止採購規範等問題」專案報告(全文影像共7頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4465
2013-10-17,08-04-JUD-09,法務部,《監聽事件調查小組調查報告》及監聽設備預算執行情形報告(全文影像共8頁),http://npl.ly.gov.tw/do/www/FileViewer?id=4466
